datetime,open,high,low,close,volume
2023-01-01 00:00:00,99.59,100.39,99.09,99.79,100000
2023-01-02 00:00:00,99.50,100.30,99.00,99.70,100050
2023-01-03 00:00:00,99.53,100.33,99.03,99.73,100100
2023-01-04 00:00:00,99.68,100.48,99.18,99.88,100150
2023-01-05 00:00:00,99.95,100.75,99.45,100.15,100200
2023-01-06 00:00:00,100.34,101.14,99.84,100.54,100250
2023-01-07 00:00:00,100.85,101.66,100.34,101.05,100300
2023-01-08 00:00:00,100.64,101.45,100.13,100.84,100350
2023-01-09 00:00:00,100.55,101.35,100.04,100.75,100400
2023-01-10 00:00:00,100.58,101.38,100.07,100.78,100450
2023-01-11 00:00:00,100.73,101.54,100.22,100.93,100500
2023-01-12 00:00:00,101.00,101.81,100.49,101.20,100550
2023-01-13 00:00:00,101.39,102.20,100.88,101.59,100600
2023-01-14 00:00:00,101.90,102.71,101.39,102.10,100650
2023-01-15 00:00:00,101.69,102.50,101.18,101.89,100700
2023-01-16 00:00:00,101.60,102.41,101.09,101.80,100750
2023-01-17 00:00:00,101.63,102.44,101.12,101.83,100800
2023-01-18 00:00:00,101.78,102.59,101.27,101.98,100850
2023-01-19 00:00:00,102.05,102.86,101.53,102.25,100900
2023-01-20 00:00:00,102.43,103.26,101.92,102.64,100950
2023-01-21 00:00:00,102.94,103.77,102.43,103.15,101000
2023-01-22 00:00:00,102.73,103.56,102.22,102.94,101050
2023-01-23 00:00:00,102.64,103.47,102.13,102.85,101100
2023-01-24 00:00:00,102.67,103.50,102.16,102.88,101150
2023-01-25 00:00:00,102.82,103.65,102.31,103.03,101200
2023-01-26 00:00:00,103.09,103.92,102.58,103.30,101250
2023-01-27 00:00:00,103.48,104.31,102.96,103.69,101300
2023-01-28 00:00:00,103.99,104.83,103.47,104.20,101350
2023-01-29 00:00:00,103.78,104.61,103.26,103.99,101400
2023-01-30 00:00:00,103.69,104.52,103.17,103.90,101450
2023-01-31 00:00:00,103.72,104.55,103.20,103.93,101500
2023-02-01 00:00:00,103.87,104.70,103.35,104.08,101550
2023-02-02 00:00:00,104.14,104.98,103.62,104.35,101600
2023-02-03 00:00:00,104.53,105.37,104.01,104.74,101650
2023-02-04 00:00:00,105.04,105.88,104.51,105.25,101700
2023-02-05 00:00:00,104.83,105.67,104.30,105.04,101750
2023-02-06 00:00:00,104.74,105.58,104.22,104.95,101800
2023-02-07 00:00:00,104.77,105.61,104.25,104.98,101850
2023-02-08 00:00:00,104.92,105.76,104.39,105.13,101900
2023-02-09 00:00:00,105.19,106.03,104.66,105.40,101950
2023-02-10 00:00:00,105.58,106.42,105.05,105.79,102000
2023-02-11 00:00:00,106.09,106.94,105.56,106.30,102050
2023-02-12 00:00:00,105.88,106.73,105.35,106.09,102100
2023-02-13 00:00:00,105.79,106.64,105.26,106.00,102150
2023-02-14 00:00:00,105.82,106.67,105.29,106.03,102200
2023-02-15 00:00:00,105.97,106.82,105.44,106.18,102250
2023-02-16 00:00:00,106.24,107.09,105.70,106.45,102300
2023-02-17 00:00:00,106.63,107.48,106.09,106.84,102350
2023-02-18 00:00:00,107.14,107.99,106.60,107.35,102400
2023-02-19 00:00:00,106.93,107.78,106.39,107.14,102450
2023-02-20 00:00:00,106.84,107.69,106.30,107.05,102500
2023-02-21 00:00:00,106.87,107.72,106.33,107.08,102550
2023-02-22 00:00:00,107.02,107.87,106.48,107.23,102600
2023-02-23 00:00:00,107.29,108.15,106.75,107.50,102650
2023-02-24 00:00:00,107.67,108.54,107.13,107.89,102700
2023-02-25 00:00:00,108.18,109.05,107.64,108.40,102750
2023-02-26 00:00:00,107.97,108.84,107.43,108.19,102800
2023-02-27 00:00:00,107.88,108.75,107.34,108.10,102850
2023-02-28 00:00:00,107.91,108.78,107.37,108.13,102900
2023-03-01 00:00:00,108.06,108.93,107.52,108.28,102950
2023-03-02 00:00:00,108.33,109.20,107.79,108.55,103000
2023-03-03 00:00:00,108.72,109.59,108.18,108.94,103050
2023-03-04 00:00:00,109.23,110.11,108.68,109.45,103100
2023-03-05 00:00:00,109.02,109.90,108.48,109.24,103150
2023-03-06 00:00:00,108.93,109.80,108.39,109.15,103200
2023-03-07 00:00:00,108.96,109.84,108.42,109.18,103250
2023-03-08 00:00:00,109.11,109.99,108.56,109.33,103300
2023-03-09 00:00:00,109.38,110.26,108.83,109.60,103350
2023-03-10 00:00:00,109.77,110.65,109.22,109.99,103400
2023-03-11 00:00:00,110.28,111.16,109.73,110.50,103450
2023-03-12 00:00:00,110.07,110.95,109.52,110.29,103500
2023-03-13 00:00:00,109.98,110.86,109.43,110.20,103550
2023-03-14 00:00:00,110.01,110.89,109.46,110.23,103600
2023-03-15 00:00:00,110.16,111.04,109.61,110.38,103650
2023-03-16 00:00:00,110.43,111.31,109.88,110.65,103700
2023-03-17 00:00:00,110.82,111.71,110.26,111.04,103750
2023-03-18 00:00:00,111.33,112.22,110.77,111.55,103800
2023-03-19 00:00:00,111.12,112.01,110.56,111.34,103850
2023-03-20 00:00:00,111.03,111.92,110.47,111.25,103900
2023-03-21 00:00:00,111.06,111.95,110.50,111.28,103950
2023-03-22 00:00:00,111.21,112.10,110.65,111.43,104000
2023-03-23 00:00:00,111.48,112.37,110.92,111.70,104050
2023-03-24 00:00:00,111.87,112.76,111.31,112.09,104100
2023-03-25 00:00:00,112.37,113.28,111.81,112.60,104150
2023-03-26 00:00:00,112.17,113.06,111.60,112.39,104200
2023-03-27 00:00:00,112.08,112.97,111.51,112.30,104250
2023-03-28 00:00:00,112.11,113.00,111.54,112.33,104300
2023-03-29 00:00:00,112.26,113.15,111.69,112.48,104350
2023-03-30 00:00:00,112.52,113.43,111.96,112.75,104400
2023-03-31 00:00:00,112.91,113.82,112.35,113.14,104450
2023-04-01 00:00:00,113.42,114.33,112.85,113.65,104500
2023-04-02 00:00:00,113.21,114.12,112.65,113.44,104550
